Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Match?,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3N4DI1vuTSX1tz7fa2NQZw,Rehab,Back To Black (Deluxe Edition),Amy Winehouse,2006,214946,74,31td6lssg6mckgjbkbww6nrvgij4,2024-04-24T18:26:23Z,"british soul, neo soul",,Universal-Island Records Ltd.,0.407,0.558,0,-13.609,1,0.0552,0.0537,0.00000142,0.34,0.777,71.815,4
5ZrDlcxIDZyjOzHdYW1ydr,Barbie Girl,Aquarium (Special Edition),Aqua,1/1/97,197960,76,31td6lssg6mckgjbkbww6nrvgij4,2022-08-04T17:33:16Z,"europop,eurodance",,Universal Music A/S,0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,4
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,AM,Arctic Monkeys,9/9/13,272394,87,31td6lssg6mckgjbkbww6nrvgij4,2023-02-12T18:52:05Z,"indie,garage rock",RTM,Domino Recording Co,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
7s25THrKz86DM225dOYwnr,Respect,I Never Loved a Man the Way I Love You,Aretha Franklin,3/10/67,147600,75,31td6lssg6mckgjbkbww6nrvgij4,2023-05-01T18:19:54Z,"soul,motown,jazz blues",RTM,Rhino Atlantic,0.805,0.558,0,-5.226,1,0.041,0.164,0.000022,0.0546,0.965,114.95,4
3cySlItpiPiIAzU3NyHCJf,Problem,Problem,"Ariana Grande,Iggy Azalea",1/1/14,193986,0,31td6lssg6mckgjbkbww6nrvgij4,2021-04-18T14:56:23Z,pop,,Universal Music Group,0.66,0.798,1,-5.326,0,0.162,0.0226,0.000022,0.103,0.627,103.022,4
09rj7jigutgAkveJGpSDBT,Emotion,Emotion,Astrid S,10/12/18,190330,43,31td6lssg6mckgjbkbww6nrvgij4,2023-07-06T20:50:09Z,norwegian pop,,Universal Music AS,0.402,0.75,0,-6.607,1,0.0567,0.0125,0.00192,0.396,0.502,146.223,4
4fs51wRnDJo4XrRdk6h0GD,Mmm Yeah (feat. Pitbull),The Secret,"Austin Mahone,Pitbull",5/27/14,231624,0,31td6lssg6mckgjbkbww6nrvgij4,2021-12-14T21:20:40Z,"post-teen pop, pop",2000s,A.M. Music LLC / Mr. 305,0.712,0.922,6,-3.902,0,0.0411,0.00266,0.0000019,0.268,0.976,125.984,4
5Iy2Jj87Ha0C0IBlNE1I4y,The Days,The Days / Nights,Avicii,1/1/14,278480,68,31td6lssg6mckgjbkbww6nrvgij4,2023-03-09T14:22:04Z,edm,,Universal Music AB,0.59,0.724,0,-3.278,1,0.0439,0.04,0.0000407,0.142,0.526,127.059,4
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,TRUE,Avicii,1/1/13,247426,87,31td6lssg6mckgjbkbww6nrvgij4,2020-11-06T19:59:08Z,edm,,Universal Music AB,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
4lhqb6JvbHId48OUJGwymk,Hey Brother,TRUE,Avicii,1/1/13,255093,81,31td6lssg6mckgjbkbww6nrvgij4,2022-02-07T12:19:53Z,edm,,Universal Music AB,0.545,0.78,7,-4.867,0,0.0436,0.0309,0.0000464,0.0828,0.458,125.014,4
0ct6r3EGTcMLPtrXHDvVjc,The Nights,The Days / Nights,Avicii,1/1/14,176658,85,31td6lssg6mckgjbkbww6nrvgij4,2022-07-31T10:32:18Z,edm,,Universal Music AB,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Stories,Avicii,10/2/15,230613,82,31td6lssg6mckgjbkbww6nrvgij4,2022-07-31T10:33:46Z,edm,,Universal Music AB,0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,4
0JhKJg5ejeQ8jq89UQtnw8,Levels - Radio Edit,Levels,Avicii,10/28/11,199903,11,31td6lssg6mckgjbkbww6nrvgij4,2023-02-15T11:58:33Z,edm,,Virgin,0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,4
4eDYMhIin1pSLIG96f1aD0,Addicted To You,TRUE,Avicii,1/1/13,148386,75,31td6lssg6mckgjbkbww6nrvgij4,2023-12-30T00:41:44Z,edm,,Universal Music AB,0.569,0.785,1,-4.057,0,0.0457,0.0505,0.00000112,0.086,0.303,128.031,4
70mHIUa4beJjFpBNyHYwT2,Taste The Feeling (Avicii Vs. Conrad Sewell),Taste The Feeling (Avicii Vs. Conrad Sewell),"Avicii,Conrad Sewell",3/11/16,191065,57,31td6lssg6mckgjbkbww6nrvgij4,2022-07-13T18:10:41Z,edm,,Universal Music AB,0.633,0.79,6,-4.529,1,0.0539,0.0335,0,0.0626,0.558,89.933,4
59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray,"B.o.B,Bruno Mars",4/27/10,268320,78,31td6lssg6mckgjbkbww6nrvgij4,2020-07-06T14:32:47Z,pop,,Rebel Rock/Grand Hustle/Atlantic,0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,4
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),B.o.B Presents: The Adventures of Bobby Ray,"B.o.B,Hayley Williams",4/27/10,180480,75,31td6lssg6mckgjbkbww6nrvgij4,2022-12-25T13:25:58Z,art pop,2000s,Rebel Rock/Grand Hustle/Atlantic,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,4
6e40mgJiCid5HRAGrbpGA6,I Want It That Way,The Hits--Chapter One,Backstreet Boys,10/23/01,213600,67,31td6lssg6mckgjbkbww6nrvgij4,2020-06-30T09:15:52Z,"pop, boy band",,Jive,0.689,0.702,6,-5.642,0,0.0261,0.216,0,0.159,0.484,99.031,4
4XX1pFUkQOZTYp6Hb6a6Ae,Venus,True Confessions (Collector's Edition),Bananarama,1/1/86,229164,69,31td6lssg6mckgjbkbww6nrvgij4,2022-08-07T12:24:51Z,hi-nrg,,London Records (Because Ltd),0.722,0.961,9,-4.812,1,0.0514,0.0883,0.61,0.278,0.911,126.113,4
5FMXrphygZ4z3gVDHGWxgl,Copacabana (At the Copa),Dance Vault Mixes - Copacabana (At The Copa),Barry Manilow,9/12/06,236760,67,31td6lssg6mckgjbkbww6nrvgij4,2023-05-18T14:38:39Z,adult standards,RTM,Arista,0.606,0.899,7,-6.412,0,0.0758,0.333,0.000102,0.0754,0.66,116.735,4
3rqXP37YkEnizabzjM7uIu,"You're The First, The Last, My Everything - Edit",All-Time Greatest Hits,Barry White,8/10/94,208933,53,31td6lssg6mckgjbkbww6nrvgij4,2023-11-11T19:23:41Z,"disco,soul,quiet storm,philly soul",RTM,Mercury Records,0.631,0.59,5,-12.138,1,0.0297,0.00367,0.00299,0.0537,0.927,130.145,4
3gbBpTdY8lnQwqxNCcf795,Pompeii,Bad Blood,Bastille,1/1/13,214147,71,31td6lssg6mckgjbkbww6nrvgij4,2020-06-05T11:30:19Z,"modern rock, metropopolis pop",2000s,EMI (Virgin),0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
4laAKIq9ZxBCwf99rauPYb,Remember,Remember,"Becky Hill,David Guetta",6/18/21,160766,72,31td6lssg6mckgjbkbww6nrvgij4,2022-09-08T09:45:09Z,"edm,dance",,Polydor Records,0.612,0.862,8,-2.903,1,0.037,0.041,0,0.0907,0.354,123.849,4
3mRM4NM8iO7UBqrSigCQFH,Stayin' Alive - From Saturday Night Fever Soundtrack,Greatest,Bee Gees,1/1/79,285373,79,31td6lssg6mckgjbkbww6nrvgij4,2020-06-05T11:21:27Z,disco,,Bee Gees Catalog,0.703,0.827,10,-7.179,0,0.0343,0.032,0.00636,0.179,0.944,103.564,4
2xiOdusRnZezQok1RgLNeS,You Should Be Dancing,Children Of The World,Bee Gees,1/1/76,256493,70,31td6lssg6mckgjbkbww6nrvgij4,2023-01-02T21:35:00Z,disco,,Bee Gees Catalog,0.682,0.716,0,-10.911,1,0.0333,0.0182,0.168,0.337,0.963,123.011,4
4t2euPkyLUs5n5j1HDZ2Tr,Night Fever,Greatest,Bee Gees,1/1/79,212253,0,31td6lssg6mckgjbkbww6nrvgij4,2021-07-01T16:09:13Z,disco,,Universal Music Group,0.733,0.795,1,-7.224,0,0.0249,0.0266,0.000948,0.083,0.892,109.122,4
49OMJ1prsRA7ZYgrAjz70c,More Than A Woman,Greatest,Bee Gees,1/1/79,197213,77,31td6lssg6mckgjbkbww6nrvgij4,2022-10-03T14:18:29Z,disco,,Bee Gees Catalog,0.632,0.683,7,-6.434,1,0.0385,0.163,0.00013,0.847,0.701,105.959,4
0mbS3VwRbO6HVBMPXnzOGA,To Love Somebody,Bee Gees' 1st,Bee Gees,7/14/67,182000,70,31td6lssg6mckgjbkbww6nrvgij4,2023-01-13T08:41:39Z,disco,,Bee Gees Catalog,0.434,0.384,9,-12.503,1,0.0324,0.731,0.00000411,0.27,0.526,90.795,4
6UXXeFqMBGiqjkzQzkMT3E,Tragedy,Spirits Having Flown,Bee Gees,2/5/79,303333,70,31td6lssg6mckgjbkbww6nrvgij4,2023-07-02T16:45:30Z,disco,,Bee Gees Catalog,0.665,0.532,11,-10.792,0,0.0278,0.0871,0.00993,0.296,0.825,117.954,4
37Q5anxoGWYdRsyeXkkNoI,Heaven Is A Place On Earth,Greatest Vol.1 - Belinda Carlisle,Belinda Carlisle,1987,246520,71,31td6lssg6mckgjbkbww6nrvgij4,2023-05-07T20:25:26Z,"new wave pop, new romantic, soft rock",RTM,Crimson,0.64,0.852,1,-8.119,0,0.0345,0.0243,0.00000182,0.0497,0.793,122.902,4
3iUCiPNTyjuglzDO9TX4QB,Fake Your Beauty,Rollerskating,Bertine Zetlitz,11/1/04,217946,24,31td6lssg6mckgjbkbww6nrvgij4,2023-04-25T18:56:50Z,norwegian pop,,Parlophone Norway,0.903,0.477,0,-5.751,1,0.0598,0.0267,0.0000129,0.0286,0.845,122.024,4
4JehYebiI9JE8sR8MisGVb,Halo,I AM...SASHA FIERCE,Beyoncé,11/17/08,261640,75,31td6lssg6mckgjbkbww6nrvgij4,2022-08-10T18:40:18Z,pop,,Music World Music/Columbia,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,4
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. JAY-Z),Dangerously In Love,"Beyoncé,JAY-Z",6/24/03,236133,79,31td6lssg6mckgjbkbww6nrvgij4,2022-12-25T13:25:13Z,"hip hop,east coast hip hop,rap",2000s,Columbia,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,4
5UqqOfFa9DYXALpCCF8VwB,(I've Had) The Time of My Life,Dirty Dancing,"Bill Medley,Jennifer Warnes",7/10/87,289680,0,31td6lssg6mckgjbkbww6nrvgij4,2023-05-27T08:59:02Z,soft rock,RTM,RCA Records Label,0.697,0.665,6,-12.907,0,0.0412,0.0476,0.00665,0.0796,0.485,108.535,4
70C4NyhjD5OZUMzvWZ3njJ,Piano Man,Piano Man (Legacy Edition),Billy Joel,11/7/73,339000,80,31td6lssg6mckgjbkbww6nrvgij4,2022-11-18T10:34:54Z,soft rock,RTM,Columbia/Legacy,0.331,0.55,0,-6.483,1,0.0272,0.605,0.00000396,0.192,0.429,177.734,3
4ZoBC5MhSEzuknIgAkBaoT,My Life,52nd Street,Billy Joel,10/13/78,284000,73,31td6lssg6mckgjbkbww6nrvgij4,2022-11-18T10:36:26Z,soft rock,RTM,Columbia,0.741,0.647,2,-12.878,1,0.0427,0.108,0.00139,0.0555,0.804,131.097,4
4JEylZNW8SbO4zUyfVrpb7,Caribbean Queen (No More Love On the Run),The Very Best of Billy Ocean,Billy Ocean,4/26/10,244426,74,31td6lssg6mckgjbkbww6nrvgij4,2024-01-28T16:36:20Z,"disco, yacht rock, soft rock, new wave pop, new romantic, mellow gold",RTM,Sony Music UK,0.79,0.649,5,-7.507,1,0.0265,0.166,0.0000887,0.092,0.954,113.798,4
4e5b6X3dTa1dFY0kVciLmw,Yes Man,Bjørn Johan Muri / Yes Man,Bjørn Johan Muri,1/1/10,192946,41,31td6lssg6mckgjbkbww6nrvgij4,2021-03-21T00:25:10Z,norwegian pop,,Universal Music AS,0.574,0.878,7,-6.148,1,0.0381,0.0316,0.0000229,0.14,0.54,163.921,4
4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,1/1/09,289133,6,31td6lssg6mckgjbkbww6nrvgij4,2020-06-05T11:29:04Z,"dance pop, pop rap, pop",B,Interscope,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,4
0xmjwnQ3FNE6HuWCt2nHdZ,Where Is The Love?,Elephunk,Black Eyed Peas,6/24/03,272533,81,31td6lssg6mckgjbkbww6nrvgij4,2023-02-08T18:04:49Z,"dance pop, pop rap, pop",B,A&M,0.834,0.699,5,-3.222,1,0.178,0.111,0,0.131,0.809,94.086,4
3JA9Jsuxr4xgHXEawAdCp4,Just Can’t Get Enough,The Beginning,Black Eyed Peas,1/1/10,219426,79,31td6lssg6mckgjbkbww6nrvgij4,2023-05-12T22:15:12Z,"dance pop, pop rap, pop",B,A&M,0.659,0.629,0,-8.685,0,0.18,0.19,0,0.105,0.262,94.049,4
5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,Uprising,Bob Marley & The Wailers,6/10/80,237000,83,31td6lssg6mckgjbkbww6nrvgij4,2023-09-08T16:12:06Z,"reggae,roots reggae",,Island Records,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.761,103.314,4
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Slippery When Wet,Bon Jovi,8/16/86,249293,83,31td6lssg6mckgjbkbww6nrvgij4,2022-08-01T14:32:03Z,"glam metal,rock",2000s,Island Records,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,4
3U7H63zKWLjOuFZJUmTowp,You Give Love A Bad Name,Slippery When Wet,Bon Jovi,1/1/86,223733,5,31td6lssg6mckgjbkbww6nrvgij4,2022-12-02T17:31:39Z,"glam metal,rock",2000s,Universal Music Group,0.559,0.825,0,-10.725,0,0.0401,0.0771,0,0.363,0.805,122.821,4
5Tq2PQq4A4fJ2zt1u6EVVH,Rasputin - Single Version,Boney M.,Boney M.,7/20/98,265933,46,31td6lssg6mckgjbkbww6nrvgij4,2021-04-04T13:45:42Z,disco,,Ariola Express,0.738,0.843,6,-8.035,0,0.0365,0.11,0.000353,0.51,0.972,126.509,4
3pf96IFggfQuT6Gafqx2rt,Sunny,Take The Heat Off Me,Boney M.,1976,242240,69,31td6lssg6mckgjbkbww6nrvgij4,2022-05-23T19:26:12Z,disco,,MCI,0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,4
3WMbD1OyfKuwWDWMNbPQ4g,Daddy Cool,Take The Heat Off Me,Boney M.,1976,208600,74,31td6lssg6mckgjbkbww6nrvgij4,2022-05-23T19:26:25Z,disco,,MCI,0.763,0.777,5,-6.932,0,0.0364,0.281,0.79,0.134,0.929,124.431,4
78His8pbKjbDQF7aX5asgv,Rivers of Babylon,Nightflight to Venus,Boney M.,1978,261266,68,31td6lssg6mckgjbkbww6nrvgij4,2023-05-01T18:42:04Z,disco,,MCI,0.729,0.851,7,-7.033,1,0.0362,0.13,0.000912,0.443,0.741,115.118,4
1BqnZOkYJbvYLOhN0qPJDm,Ma Baker,Love For Sale,Boney M.,1977,276080,66,31td6lssg6mckgjbkbww6nrvgij4,2023-12-14T10:33:34Z,disco,,MCI,0.746,0.76,2,-6.009,0,0.105,0.0342,0.0000218,0.31,0.902,128.976,4
734Bm0wCyh215uaDkq1Aq0,Holding Out for a Hero - From Footloose Soundtrack,Footloose (15th Anniversary Collectors' Edition),Bonnie Tyler,1984,350160,49,31td6lssg6mckgjbkbww6nrvgij4,2024-01-13T12:33:41Z,"album rock, heartland rock, soft rock, mellow gold, new wave pop, classic rock, hard rock, rock, singer-songwriter, new romantic",B,Columbia/Legacy,0.577,0.83,9,-9.833,0,0.0409,0.0162,0.00000466,0.0815,0.856,149.69,4
06ngjaiEea4jvIcAIcxcGr,Ready or Not,Hello My Name Is...,Bridgit Mendler,1/1/12,200946,0,31td6lssg6mckgjbkbww6nrvgij4,2025-02-27T14:29:30Z,"post-teen pop, pop",2000s,Universal Music,0.713,0.877,2,-3.843,1,0.0502,0.00435,0.0000991,0.0962,0.759,93.016,4
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,5/16/00,211160,81,31td6lssg6mckgjbkbww6nrvgij4,2023-01-02T21:38:09Z,pop,,Jive,0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
